GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apollo,databases,DatabaseSetup,10,56,1,1,4,16,1,1,0,1
Apollo,databases,Database,102,796,0,26,47,200,0,30,0,17
Apollo,registrationandlogin,Encryption,25,55,1,1,11,16,1,4,0,4
Apollo,registrationandlogin,DoctorRegistration,0,91,0,0,0,22,0,2,0,2
Apollo,registrationandlogin,Login,8,47,1,1,3,16,1,2,0,2
Apollo,patient,VisitDatum,18,77,0,0,9,26,0,13,0,13
Apollo,patient,PatientRegistration,4,80,0,0,1,17,0,2,0,2
Apollo,patient,VisitRegistration,4,83,0,0,1,17,0,2,0,2
Apollo,patient,PatientDatum,0,120,0,0,0,38,0,19,0,19
Apollo,searchalgorithms,KMP,0,147,1,21,0,33,1,13,0,3
Apollo,repl,ReplHandler,9,67,2,4,1,15,2,3,0,2
Apollo,repl,Repl,35,0,2,0,11,0,3,0,2,0
Apollo,apollo,Main.SingleVisitHandler,176,0,2,0,37,0,2,0,1,0
Apollo,apollo,Main.SendHandler,229,0,2,0,43,0,2,0,1,0
Apollo,apollo,DisplayPatients,2,183,2,4,1,43,2,2,0,1
Apollo,apollo,Main.BaseHandler,46,0,2,0,9,0,2,0,1,0
Apollo,apollo,Main.ExceptionPrinter,30,0,0,0,8,0,1,0,1,0
Apollo,apollo,Main.ErrorHandler,10,0,0,0,2,0,1,0,1,0
Apollo,apollo,Main.NewVisitHandler,48,0,0,0,7,0,1,0,1,0
Apollo,apollo,Main.RegisterHandler,14,0,0,0,3,0,1,0,1,0
Apollo,apollo,Main.RegisterDoctorHandler,151,0,4,0,23,0,3,0,1,0
Apollo,apollo,Main,186,0,2,0,43,0,6,0,5,0
Apollo,apollo,Main.VisitHandler,407,0,12,0,82,0,8,0,2,0
Apollo,apollo,Main.FrontHandler,14,0,0,0,3,0,1,0,1,0
Apollo,apollo,Main.AddPatientHandler,118,0,0,0,15,0,1,0,1,0
Apollo,apollo,Main.RegisterPatientHandler,19,0,0,0,3,0,1,0,1,0
Apollo,apollo,Main.LoginDoctorHandler,57,0,2,0,10,0,2,0,1,0
Apollo,apollo,Main.AccountDetailsHandler,39,0,0,0,7,0,1,0,1,0
Apollo,apollo,DisplayVisits,42,536,9,15,12,113,9,6,0,3
Apollo,commands,ConnectToDatabase,0,7,0,0,0,4,0,2,0,2
Apollo,transcriptparser,FillSymptoms,18,175,5,21,5,41,5,11,0,3
Apollo,transcriptparser,ToParse,69,277,5,23,20,62,6,13,2,3
Apollo,transcriptparser,SearchAllTranscripts,59,165,11,13,21,35,9,11,2,6
Apollo,transcriptparser,AcceptablePhrases,0,160,0,0,0,42,0,4,0,4
Apollo,transcriptparser,FillVisit,0,94,2,10,0,23,2,6,0,2
Apollo,transcriptparser,FillEHRSections,15,147,5,15,6,26,5,7,0,2
Apollo,speechtotext,RunDeepSpeech,3,54,0,2,2,20,1,2,1,1
